CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	UNDRLNG_ST	NOTIONAL_V	PREMIUM_TR
OPTSTKSRF25-JAN-2023PE3050	744.85	0	0	0		735.05	9.8	0	0	0	2302.85	0	0
OPTSTKASHOKLEY29-MAR-2023CE152.5	11.65	0	0	0		10.9	0.75	0	0	0	147.4	0	0
OPTSTKJKCEMENT23-FEB-2023CE3050	155.7	0	0	0		157.45	1.75	0	0	0	2964.75	0	0
OPTSTKPETRONET25-JAN-2023CE155.5	61.8	0	0	0		61.25	0.55	0	0	0	216.1	0	0
OPTSTKLTTS23-FEB-2023PE3050	32	0	0	0		32.35	0.35	0	0	0	3707.2	0	0
OPTSTKALKEM23-FEB-2023CE3050	109	0	0	0		121.6	12.6	0	0	0	3028.8	0	0
OPTSTKDIVISLAB25-JAN-2023CE3050	351.9	0	0	0		368.4	16.5	0	0	0	3393	0	0
OPTSTKBAJAJ-AUTO23-FEB-2023CE3050	561.8	0	0	0		587.25	25.45	0	0	0	3601.8	0	0
OPTSTKRBLBANK23-FEB-2023CE152.5	36.15	0	0	0		40.3	4.15	0	0	0	186.65	0	0
OPTSTKVEDL25-JAN-2023CE152.5	164.25	0	0	0		167.7	3.45	1	0	0	319.55	0	0
OPTIDXNIFTY29-MAR-2023CE17950	994.65	0	0	0		1009.8	15.15	0	0	0	18232.55	0	0
OPTSTKABCAPITAL29-MAR-2023CE152.5	15.95	0	0	0		15.2	0.75	0	0	0	154.35	0	0
OPTSTKABB29-MAR-2023CE3050	93.8	0	0	0		95.1	1.3	0	0	0	2689.4	0	0
OPTSTKALKEM29-MAR-2023PE3160	214.55	0	0	0		198	16.55	0	0	0	3028.8	0	0
OPTSTKLTTS23-FEB-2023CE3050	735.2	0	0	0		718.6	16.6	0	0	0	3707.2	0	0
OPTSTKTCS25-JAN-2023CE3160	156.85	0	0	0		192.35	35.5	2	0	0	3311.35	0	0
